temp_mean,salt_mean,DIN_mean,FineSed_mean,SG_N_mean,SGH_N_mean
30.23534,36.35581,0.07690367,6.542591e-05,0.17336074,0.122481346
30.21542,36.356743,0.07073767,0.0001198576,0.17336102,0.11953837
30.26531,36.350037,0.06683155,0.00012767003,0.17409931,0.1170607
30.089895,36.348984,0.07176877,9.062208e-05,0.17357033,0.11432637
30.098845,36.3439,0.065218374,2.6287762e-05,0.17321339,0.11298054
30.283325,36.34699,0.07311819,1.820691e-05,0.17246653,0.1112392
30.36487,36.32173,0.090397164,6.957719e-06,0.17161985,0.11132229
29.645742,36.307346,0.07636118,5.0949548e-05,0.16820456,0.110318795
28.728144,36.37631,0.11544462,8.9972746e-05,0.1618012,0.10603129
28.295,36.402496,0.11815708,2.8223547e-05,0.15717535,0.10265132
28.175312,36.419678,0.07330868,2.0693182e-05,0.15668687,0.10336372
28.657564,36.429043,0.059935007,1.1535831e-05,0.16027242,0.1077283
28.300478,36.431778,0.06348585,2.984805e-05,0.16231811,0.1094843
28.142044,36.44128,0.07331054,3.425258e-05,0.16320819,0.110221826
27.92436,36.445923,0.08537197,6.0166232e-05,0.16367066,0.11004408
27.954775,36.443935,0.08699159,7.008551e-05,0.1658116,0.11083878
27.6813,36.427002,0.09177202,7.249638e-05,0.16530254,0.1102555
27.95783,36.43291,0.06405432,5.615489e-05,0.16794021,0.11160836
28.304459,36.43168,0.056125097,3.940735e-05,0.16999027,0.11260758
28.60023,36.43059,0.064019054,2.2107512e-05,0.16996536,0.11300207
28.892534,36.430008,0.06618768,7.2112284e-06,0.17134483,0.11418652
29.385927,36.426014,0.07086929,3.352836e-06,0.17381662,0.11464966
29.324745,36.432213,0.067851216,3.8540575e-06,0.17394353,0.114255026
29.54884,36.45262,0.07863812,3.4264815e-06,0.17420878,0.113810614
29.74328,36.447594,0.09911706,2.315964e-06,0.17277221,0.11339412
29.045605,36.461555,0.075676166,4.5184606e-05,0.17085533,0.110902034
27.97556,36.530575,0.16833119,9.59726e-05,0.16413204,0.10493101
27.531818,36.555935,0.28100896,0.00015135147,0.1568725,0.099056855
27.235703,36.558365,0.30707738,0.0001923776,0.15184554,0.094320506
26.620564,36.562023,0.4487764,0.00053753465,0.14667314,0.08785442
26.064203,36.336697,1.3630731,0.0008528124,0.13595283,0.07678065
25.831308,35.73874,2.6930077,0.0008179104,0.12761937,0.06963424
25.594849,35.782867,4.0811214,0.00066241756,0.12108984,0.06433568
25.816109,35.818226,4.310156,0.00019193023,0.1176996,0.061557665
26.195948,35.850998,2.7212381,4.069075e-05,0.12855905,0.06476138
26.407953,35.87878,0.80027354,2.3354874e-05,0.13858882,0.07114592
26.4068,35.905323,0.41980127,1.4161491e-05,0.1423105,0.07836682
