temp_mean,salt_mean,DIN_mean,FineSed_mean,SG_N_mean,SGH_N_mean
28.280499,36.61771,0.063986,4.668625e-05,0.1693111,0.0831994
28.740215,36.603897,0.05666718,1.5784695e-05,0.17034465,0.08414234
29.024282,36.61614,0.041415595,1.511024e-05,0.1724041,0.086864404
28.891861,36.65129,0.043090735,1.33747035e-05,0.17265368,0.087801516
28.869709,36.676163,0.052187625,1.26191835e-05,0.17266832,0.0881696
28.475231,36.691692,0.049412083,1.9705756e-05,0.17205963,0.08841814
28.360712,36.703205,0.061872415,1.612166e-05,0.17173278,0.088209555
28.579912,36.70591,0.075452924,1.738749e-05,0.17193834,0.087472685
29.059002,36.684166,0.07701269,1.9280893e-05,0.17274086,0.08642793
29.337875,36.655415,0.068020955,3.95636e-05,0.17318462,0.08543504
29.41689,36.627655,0.06822068,7.158269e-05,0.1724239,0.083999604
29.613218,36.603878,0.07027436,0.00011593379,0.1721976,0.08192303
29.72176,36.593075,0.062364027,0.00014327634,0.17150125,0.07975053
29.828812,36.596188,0.05535965,0.000100248486,0.17215724,0.07872895
29.529108,36.58,0.06229924,4.789825e-05,0.17003284,0.07755461
29.318497,36.59498,0.07221809,1.9630656e-05,0.16939782,0.077948235
29.662695,36.620556,0.063892595,9.115574e-06,0.17073366,0.078957625
29.800337,36.64122,0.067498535,6.8163376e-06,0.17043167,0.08115287
30.58249,36.650925,0.13332082,1.1726212e-06,0.17082478,0.082281426
30.855305,36.65626,0.09685338,1.4284213e-06,0.17033796,0.08264183
30.526146,36.68948,0.07569244,3.6276354e-06,0.16989028,0.08249619
30.408682,36.699535,0.077406585,5.8789433e-06,0.16850978,0.08189226
29.899725,36.711353,0.073520266,5.6195287e-05,0.16760007,0.080813505
29.271187,35.436146,2.0487442,0.00020460604,0.16387223,0.07858473
28.214714,31.45403,29.142235,0.00089578365,0.15636736,0.07444825
27.593433,25.77293,50.37659,0.0010765293,0.13322413,0.06558732
27.710337,23.672375,59.340454,0.0010845235,0.12361948,0.05919929
27.757118,26.477636,53.010937,0.000645695,0.116805986,0.054287013
28.34245,27.378662,46.118553,0.0002375074,0.11095024,0.05164179
28.885303,27.720903,40.213444,0.00015234297,0.105452545,0.049922485
29.103872,28.108414,35.65636,9.3361756e-05,0.10223883,0.048456512
29.34562,28.246675,34.699738,2.8507566e-05,0.09946717,0.047059346
29.598213,28.350552,42.66228,9.958296e-06,0.09745914,0.046652287
29.496128,28.558968,44.907036,5.345482e-06,0.09758186,0.048606716
