temp_mean,salt_mean,EpiPAR_sg_mean,DIN_mean,DOR_N_mean,FineSed_mean,SG_N_mean,SG_N_pr_mean,SGH_N_mean,SGH_N_pr_mean,SGD_N_mean,SGD_N_pr_mean
29.423105,34.261074,27.792986,0.6843375,99.03874,2.5209572e-05,0.030645493,0.00557628,0.096657634,0.03161414,0.026220066,0.008572714
30.08394,31.75502,8.429809,5.639148,109.14406,9.986046e-06,0.009011271,1.2261578e-05,0.05553527,0.019884966,0.009800087,0.0029305718
29.449383,32.30658,8.083582,9.39599,107.805595,4.943717e-05,0.0025044838,2.7777776e-16,0.053892024,0.02214431,0.008009532,0.002355106
28.872887,33.45573,9.32397,4.2777143,137.30101,7.764245e-05,0.0017238639,6.758879e-06,0.05664862,0.023603415,0.007972274,0.0025586756
27.468449,33.160534,9.5556965,5.6344323,138.43324,1.6411259e-05,0.0013626465,9.538536e-07,0.06184179,0.022943243,0.007862951,0.0023509574
25.204176,34.256428,15.575211,0.8903676,146.95525,2.5781283e-06,0.0013041318,0.00015008965,0.06871116,0.020628624,0.011013801,0.0044003706
23.090807,34.967045,16.822721,0.6314355,146.83841,5.2431255e-06,0.0020678835,0.00035871463,0.105814256,0.027755583,0.014185459,0.004719629
22.298676,35.30312,20.716633,0.48357308,147.18938,1.3607098e-06,0.002768746,0.0006403144,0.13087507,0.032728437,0.012288068,0.0036474466
22.624563,35.65344,27.960577,0.22239336,127.43913,6.5572385e-07,0.00501558,0.0012139026,0.15759017,0.034258932,0.013147846,0.0036877422
23.946342,35.862785,37.506058,0.1221697,114.826515,1.2063354e-06,0.008740042,0.0019543953,0.16779566,0.034918904,0.013225127,0.003611087
26.427591,35.951073,36.96807,0.11200324,107.31613,4.7597955e-06,0.013206438,0.0029073583,0.15362248,0.03433543,0.011476735,0.00274554
28.058668,35.84533,40.571873,0.051563356,83.2142,8.502075e-07,0.01835428,0.003988502,0.14128846,0.032741223,0.010697581,0.0021427262
29.472511,35.348328,37.120354,0.0537895,75.95395,2.3988368e-06,0.022588,0.004900646,0.1198036,0.03052291,0.010238445,0.00217279
30.072506,35.088203,36.771866,0.064613625,77.14506,3.6889498e-06,0.02487275,0.005478184,0.10988189,0.02990549,0.010583092,0.0023777515
31.047205,33.81198,24.82906,0.22455783,81.77353,1.3993046e-05,0.021742763,0.004225553,0.097605646,0.032536447,0.0110620605,0.0034625055
29.308329,32.219547,9.62606,4.710645,93.97986,4.4055174e-05,0.007443069,0.00022420388,0.06664601,0.024100924,0.009093783,0.0027960457
28.050241,32.306484,7.4756017,8.061845,101.8522,3.8812877e-06,0.0031774272,2.7777776e-16,0.06335849,0.028043207,0.0068876343,0.0019009546
25.636293,34.138706,11.788766,1.8092602,102.270065,2.4894512e-06,0.002479472,0.00011516792,0.06705597,0.02147552,0.008923661,0.003258003
23.279236,35.12441,19.575937,0.6917419,105.34237,1.4735713e-06,0.0043324917,0.0010598087,0.104996346,0.02986285,0.014821266,0.0055535478
22.676905,35.412125,22.57695,0.49989113,98.75609,5.1631323e-06,0.0059488663,0.0012894332,0.14173648,0.035681948,0.013634869,0.004048414
23.228922,35.54746,31.700449,0.13204907,91.26059,6.0168503e-07,0.011057714,0.002560013,0.16880104,0.037099116,0.013775849,0.0037989817
25.28341,35.61368,41.776623,0.06788643,81.99758,5.910728e-07,0.017471537,0.0035734624,0.16440766,0.033798594,0.011613824,0.0023533474
26.522194,35.799202,41.756268,0.071106404,77.16208,8.9490544e-07,0.022027664,0.004382425,0.13769698,0.030038321,0.010076948,0.0018689658
28.397848,36.03764,43.529724,0.061760623,71.94045,1.1322269e-06,0.025495814,0.0049604303,0.11785407,0.026531234,0.009796886,0.0017771461
29.676847,36.341923,41.418392,0.048582323,70.26938,1.0989554e-06,0.027917786,0.0055346754,0.10052511,0.02472922,0.009869601,0.0019389527
29.995255,35.461227,36.83936,0.17323613,66.56116,2.637875e-05,0.02785678,0.0058264327,0.088028155,0.024557082,0.010073471,0.0023787434
30.6232,34.415653,26.330763,0.20287211,69.762886,1.6534443e-06,0.024799218,0.0049442938,0.097679816,0.03294838,0.012512448,0.00425307
29.597603,34.188835,23.23738,0.3767067,76.142975,2.5650806e-06,0.016938651,0.003780389,0.08934592,0.03004592,0.012149577,0.0042429026
27.953917,34.414833,28.335726,0.17821144,104.01046,1.206768e-06,0.02136918,0.0049631502,0.106944144,0.033045366,0.013520757,0.004558775
25.456724,34.84381,21.933807,0.26819256,115.56254,1.279589e-06,0.022392878,0.005022915,0.11420055,0.034138937,0.012188761,0.0036359404
23.750633,35.17044,22.180408,0.369545,114.766266,9.652179e-07,0.022042833,0.0048104906,0.13314116,0.035610717,0.0119718015,0.0032464676
22.887104,35.47313,22.597656,0.3586846,115.26309,1.4363943e-06,0.023553174,0.0046951068,0.14245829,0.036021013,0.0114168255,0.0029151358
24.242155,35.66408,31.43421,0.17823502,111.674995,7.2378526e-07,0.026781986,0.005253573,0.14703122,0.032866426,0.011744099,0.0030416865
25.488121,35.716545,36.383022,0.13099675,94.52637,1.3561257e-06,0.029451836,0.0053398167,0.13608868,0.031077012,0.011382573,0.002622881
27.59537,35.814125,40.510586,0.06189302,94.77754,1.3823804e-06,0.030147018,0.005589867,0.119733505,0.027466137,0.010214453,0.0019853148
28.805504,35.74223,38.355087,0.069216244,85.903404,1.281644e-06,0.030502982,0.0059574204,0.106070824,0.026009385,0.01005656,0.002002319
29.212711,35.759228,42.812107,0.06842452,80.07641,1.6801247e-06,0.03050292,0.0058083767,0.09719508,0.024677299,0.010393396,0.0021370335
29.590115,35.55284,29.116518,0.16800195,76.81463,4.396131e-06,0.02923222,0.0056205317,0.08933181,0.022849591,0.01061268,0.0022639618
28.607183,34.54094,29.62923,0.3266541,74.6622,2.2868942e-05,0.025446456,0.005954273,0.093282856,0.032477982,0.012771121,0.0044311737
28.062449,34.700783,24.259493,0.1924588,96.95227,4.938722e-06,0.025843527,0.0064016506,0.120446436,0.037906326,0.013254044,0.0040870355
27.624315,34.567944,24.624842,0.45325744,105.27006,2.3471288e-05,0.025891153,0.0062081525,0.12362217,0.040634155,0.012608345,0.0041157543
25.868765,34.899757,26.66274,0.17826535,97.39568,1.8025768e-06,0.027757255,0.0066940705,0.13507944,0.039824292,0.012391487,0.0036957362
23.996975,35.30065,23.618908,0.26974273,95.03087,1.4685054e-06,0.025659878,0.005246959,0.1412855,0.038194783,0.01207083,0.0033659772
22.946716,35.56828,30.77676,0.15656869,95.71598,9.634035e-07,0.029903168,0.0059330347,0.1533143,0.03464468,0.011561789,0.002631313
23.265152,35.701813,33.635227,0.13406195,80.53254,1.6013693e-06,0.03432392,0.005908921,0.14925808,0.031182704,0.010708271,0.0020404991
25.048075,35.868183,41.589035,0.1054243,77.64982,7.450853e-07,0.036889084,0.0060967603,0.13920449,0.027160998,0.009999515,0.0016234096
26.762615,36.013813,46.737488,0.159654,72.59058,8.863975e-07,0.03718734,0.006195205,0.118594445,0.024095489,0.00963444,0.0015705619
28.70874,36.12655,48.701015,0.22193518,72.191025,8.2427454e-07,0.03764932,0.0064916853,0.10259006,0.02301355,0.009679462,0.0017037321
30.56588,36.142773,48.83581,0.21868855,68.98837,7.74898e-07,0.0365487,0.006911998,0.08663851,0.021911182,0.0098699285,0.0019357052
30.545437,35.545948,35.61331,0.14895418,65.253456,5.490324e-06,0.033119734,0.007418188,0.08535608,0.025147438,0.011218794,0.0027345372
30.099785,35.101982,34.86854,0.15469582,65.61742,1.3672087e-06,0.031575028,0.0069310404,0.08464884,0.025381727,0.011290267,0.0029986526
30.004045,34.84423,34.937134,0.20371546,70.714775,1.5368574e-06,0.031626765,0.0076277577,0.08387719,0.025217757,0.011658048,0.0031428686
28.73014,35.152676,36.01117,0.17517014,78.898056,1.0761414e-06,0.03328806,0.007508445,0.08848246,0.026330756,0.0119255325,0.0030636345
26.683157,35.495327,29.4436,0.38948488,81.16621,1.3362271e-06,0.035083372,0.007035656,0.09290136,0.026688078,0.011739767,0.0031253237
24.012474,35.775677,23.224573,0.8444645,79.63285,2.193704e-06,0.031269506,0.005904331,0.110640615,0.029725691,0.013035193,0.0036423476
22.928385,35.97162,28.960836,0.9573195,79.8372,1.9669142e-06,0.03299877,0.0058337813,0.12938955,0.029194163,0.012548221,0.002801135
23.734015,36.182354,35.38693,0.80520725,79.55685,1.7772774e-06,0.03624411,0.005905971,0.13045436,0.026866468,0.011406382,0.0021527
25.539406,36.109,46.420395,0.60289264,76.1759,1.6443023e-06,0.03788376,0.005972345,0.11860518,0.023008168,0.01061877,0.0017565078
