temp_mean,salt_mean,EpiPAR_sg_mean,DIN_mean,DOR_N_mean,FineSed_mean,SG_N_mean,SG_N_pr_mean,SGH_N_mean,SGH_N_pr_mean,SGD_N_mean,SGD_N_pr_mean
27.12936,29.960508,12.505868,32.37363,220.66261,0.00043402077,0.22982016,0.028969102,0.06892618,0.018848397,0.03609335,0.00791469
28.909697,26.272358,3.5415924,85.99414,221.25319,0.00017324302,0.076132946,0.002325791,0.026823888,0.005388093,0.010933352,0.0015036219
28.82722,31.284286,5.3816204,98.180954,191.7091,6.3271465e-05,0.0502171,0.0058733504,0.03590314,0.013466733,0.008512062,0.0017512909
28.011477,31.853907,7.3529124,100.47556,169.7486,0.0001206563,0.048668403,0.006130112,0.0519588,0.02191107,0.0114098545,0.0042466503
26.075756,31.74658,11.170031,88.1163,159.91896,8.673281e-05,0.04664524,0.01007561,0.08241764,0.032023672,0.012772549,0.005307589
23.325937,33.12048,13.708451,82.33316,150.405,2.6213298e-05,0.06452822,0.015049497,0.118661344,0.032969855,0.011059685,0.0029959083
21.062168,34.375893,13.784604,76.73779,141.7774,2.6783138e-05,0.08547307,0.016692258,0.115091324,0.026638046,0.009775537,0.0021515586
19.868137,35.114407,20.816357,61.311153,137.03578,2.4736033e-05,0.10583697,0.018229371,0.119130954,0.022877226,0.012196555,0.0030341097
20.684137,35.614643,23.039248,27.806225,136.94348,3.5599405e-05,0.12987977,0.02217278,0.13734402,0.02970784,0.0143224625,0.0039200075
22.738943,35.764454,31.2581,1.696318,136.99722,4.746787e-05,0.15009813,0.022502413,0.17878346,0.033905383,0.013605251,0.0030825855
24.703403,36.08336,29.977905,0.25107723,137.49312,5.1917043e-05,0.15499264,0.025238266,0.17647478,0.036243077,0.011951361,0.002643934
27.627134,36.20578,37.019535,0.09701721,135.84357,3.6760634e-05,0.16328368,0.028639888,0.1561261,0.031220187,0.010882158,0.0019794987
27.82775,36.293045,31.11525,0.10874689,135.3401,3.996585e-05,0.16204704,0.027806675,0.13638331,0.03228731,0.011299398,0.0023221693
28.410791,35.995296,32.591652,0.89428514,128.02193,0.00013440584,0.16541658,0.0299922,0.12233767,0.026450053,0.011350177,0.0023258713
29.521622,33.615196,26.060574,5.7623525,132.3199,6.017698e-05,0.1544414,0.032274053,0.10418144,0.027164202,0.012253209,0.0031925745
27.896172,33.595924,18.316309,10.882055,132.06046,9.4038536e-05,0.13587798,0.028115505,0.08244631,0.025698246,0.012054001,0.0037670883
26.258709,33.44978,16.930412,24.297907,140.08641,3.3289365e-05,0.13391227,0.029903192,0.0863684,0.022113087,0.011060438,0.002509083
23.690302,35.03374,17.341808,31.96943,130.11328,3.2478434e-05,0.13466446,0.025617711,0.07702574,0.019805787,0.010936589,0.0028382617
20.685713,35.387096,16.119318,17.455544,114.11824,2.6474576e-05,0.13598904,0.023768473,0.09957079,0.027934719,0.0129758,0.0035765024
20.01496,34.852524,17.7852,5.8430853,107.92505,6.224779e-05,0.14268905,0.025089167,0.15136611,0.037285972,0.013269339,0.003239913
20.909843,35.076576,24.422924,1.8708392,105.316124,2.3507682e-05,0.1601976,0.02362369,0.18340729,0.038880106,0.012438712,0.002843691
23.44818,35.569977,32.364254,0.23946671,104.00548,3.7002148e-05,0.16815937,0.02455335,0.18484524,0.033466868,0.011634691,0.002322922
25.208946,35.989655,34.185287,0.09522749,106.370605,4.2635762e-05,0.17558883,0.027281413,0.15344207,0.027569117,0.010700753,0.0018246734
26.857306,36.256954,36.64704,0.08205425,110.10546,4.3904074e-05,0.18410282,0.029131293,0.12822995,0.023733284,0.01035719,0.0016642491
