temp_mean,salt_mean,EpiPAR_sg_mean,DIN_mean,DOR_N_mean,FineSed_mean,SG_N_mean,SG_N_pr_mean,SGH_N_mean,SGH_N_pr_mean,SGD_N_mean,SGD_N_pr_mean
26.570055,30.215034,29.279488,30.854704,174.01816,0.0014387777,0.27522904,0.03682298,0.090896636,0.0229311,0.021868216,0.006204075
27.296108,21.317461,6.497647,183.37587,275.6401,0.003868613,0.1709076,0.01797058,0.0643214,0.018766113,0.0060454775,0.00048588958
28.493492,31.115181,21.32921,164.71306,198.1761,0.00044923337,0.23849396,0.0558036,0.23265074,0.08710975,0.0064228224,0.0022879818
27.462912,32.950134,27.04292,34.90927,146.59021,0.00040031527,0.22094913,0.036070738,0.15885706,0.034950566,0.010062802,0.0043310756
25.364573,33.733685,38.3219,8.628295,126.15602,0.00026032823,0.20903553,0.03557273,0.1923434,0.06152866,0.010818825,0.0043177195
22.23001,34.23511,38.777443,2.5122845,122.28673,0.00021494532,0.22579966,0.035715602,0.24910103,0.073865645,0.009249184,0.0028829447
19.629837,34.885414,35.88128,1.1292174,119.51248,0.00016819748,0.25337803,0.036871877,0.30871,0.07426866,0.008638072,0.0020697392
18.317204,35.500885,46.119953,0.20678064,115.12539,0.00015367697,0.2860738,0.035731055,0.35178095,0.06546533,0.0072905472,0.0011686448
19.382507,35.857365,45.052135,0.16377854,112.34671,0.00019661192,0.30832183,0.037122283,0.32646346,0.05682499,0.0062111565,0.0008166152
21.837791,35.72174,59.383263,0.5644166,111.96491,0.00028454515,0.3183684,0.03817599,0.33734408,0.06855669,0.006102723,0.0007555622
23.755241,36.13633,57.78933,0.24193732,107.159515,0.00024643453,0.313846,0.03887502,0.2759187,0.04796309,0.0057872003,0.00072705594
27.046822,36.27656,65.98762,0.08795753,108.46328,0.00025393208,0.301919,0.03928171,0.20746888,0.034370303,0.005649932,0.0007339759
26.877077,35.550262,53.58739,4.1535125,132.88824,0.00038761113,0.3068696,0.05103671,0.21005303,0.064502135,0.007545554,0.0019446549
27.490183,34.625313,46.491776,6.204696,142.47198,0.00074140105,0.30009302,0.044380937,0.2083797,0.04318253,0.0064713103,0.0010087206
28.77181,31.1702,29.867619,47.513905,176.09706,0.0009025325,0.28704956,0.06283945,0.09233226,0.02281756,0.0063544083,0.0018340937
26.685802,27.316038,12.797213,110.9364,245.14561,0.0014438565,0.28339037,0.057879865,0.11772231,0.046253618,0.0050580245,0.0011104513
25.156965,31.979118,22.126966,71.142494,194.75237,0.00024985845,0.32150286,0.06972965,0.20237844,0.059227876,0.00593003,0.0020715648
22.720179,34.686016,32.788944,20.609936,135.5303,0.0002053113,0.28937608,0.044129685,0.18474579,0.04542849,0.010522356,0.004174957
19.573845,34.631516,27.001156,9.372701,135.76952,0.00025248597,0.29400152,0.041916553,0.26952806,0.067635365,0.009707315,0.002775948
19.49059,34.101048,30.08766,16.455053,130.93451,0.0014141876,0.29616624,0.041937165,0.2542829,0.04867702,0.0071862307,0.0014348124
19.782913,35.359657,46.823395,1.4048026,108.74709,0.00046385961,0.30547112,0.03583988,0.31510526,0.06404821,0.0082181655,0.0018513482
22.35633,35.877266,55.51282,0.10542666,96.881546,0.00053030014,0.30563265,0.03724174,0.30479294,0.05616783,0.00671884,0.0009899656
24.1068,36.32141,55.496696,0.14311077,96.63023,0.0010548792,0.3010723,0.038520537,0.24784079,0.04791389,0.0058874735,0.00082415337
26.107452,36.56472,61.666172,0.16051833,102.53438,0.0010377041,0.2949241,0.04060379,0.20858066,0.038530897,0.005990923,0.00083507475
28.473658,36.734287,62.954453,0.07163735,103.660416,0.0006753741,0.29272932,0.04847264,0.15817663,0.035136923,0.0060425308,0.0009844885
28.37701,33.763107,47.14213,9.9556875,124.12536,0.00776484,0.28364322,0.04410285,0.13074821,0.027979925,0.006232417,0.0010480311
27.408487,24.606369,5.996317,230.3881,255.90598,0.004948683,0.116032645,0.007445775,0.032739684,0.003987814,0.003550913,0.00030181167
26.052368,25.25142,7.723374,286.75024,260.4406,0.005757893,0.07751332,0.011853522,0.037759468,0.01530311,0.0031972998,0.00039854614
25.497444,33.03459,24.806646,101.778595,138.8661,0.0015576744,0.16823152,0.039078176,0.16644213,0.053729646,0.0072158994,0.003081884
22.677917,34.535603,29.872313,20.415672,109.51992,0.00088970026,0.18875147,0.032642085,0.16234536,0.035999876,0.010972832,0.004001357
20.068903,34.82001,26.29095,11.162957,110.57537,0.0005158208,0.2051069,0.03299991,0.19955406,0.05006409,0.010236415,0.003247007
19.280548,34.976013,26.609793,5.4767776,113.441734,0.0007649715,0.22206308,0.033353984,0.2784808,0.0717171,0.0091863675,0.0024121564
20.6932,35.462856,50.167633,0.3882841,106.239395,0.00024280968,0.2489968,0.03531171,0.36101505,0.08076665,0.0076623294,0.0014481457
23.01373,35.79482,46.50352,0.18121302,103.88673,0.00057224964,0.2671746,0.042245436,0.31127918,0.07141101,0.0062870192,0.00095933897
25.423689,36.13832,62.39709,0.06057813,109.76035,0.00037644987,0.29034346,0.046177678,0.24407858,0.049818344,0.005916239,0.0008627133
26.625017,36.259777,63.376026,0.09001052,115.25725,0.00036715393,0.31455404,0.054295328,0.1985402,0.04378354,0.006047897,0.0009388171
27.264475,36.503365,63.975227,0.07244437,118.17755,0.00047218052,0.33385754,0.05800611,0.16841039,0.035585675,0.006329494,0.00097181904
28.071014,36.6332,53.658302,0.3364289,123.73941,0.0035983883,0.3243354,0.061322518,0.13072473,0.030351443,0.0064157955,0.0011612189
26.824114,36.432125,47.61644,1.0063585,129.08017,0.0011254469,0.33152473,0.077964865,0.13244672,0.043300457,0.0076336833,0.0019242316
26.605904,36.014584,41.548943,1.9678361,119.38097,0.00205859,0.34434688,0.065602705,0.12893537,0.034580994,0.00724057,0.0015996435
26.152498,33.831547,28.640753,40.69433,173.73367,0.0008789436,0.29525352,0.060662594,0.07227363,0.018075725,0.006485354,0.0018693283
23.238691,35.15846,32.52071,14.780916,125.78629,0.0004970978,0.30827826,0.054416567,0.13148534,0.04563765,0.009997407,0.0037042203
21.475113,35.64251,31.320396,1.8254801,107.356285,0.00026080318,0.30518764,0.056841046,0.22616428,0.0683031,0.009325246,0.0026523117
18.912153,36.094955,43.946053,0.24724947,103.06173,0.00023118769,0.37073275,0.06311187,0.26765493,0.05806259,0.0072905323,0.0011981452
19.82272,36.112076,44.29066,0.5454422,102.32296,0.0006851202,0.41537136,0.06490681,0.24603513,0.05226861,0.0063665654,0.0009906153
21.696146,35.971184,56.74571,0.20215602,101.51375,0.00049147237,0.4323919,0.06636903,0.22880876,0.043114997,0.0062455693,0.0008260171
24.376837,36.13217,65.78595,0.08279823,92.014755,0.000489475,0.42117664,0.063055165,0.16901343,0.029710656,0.0057051782,0.0007311012
26.895323,36.328995,62.86696,0.09246156,90.917076,0.00048146857,0.3930678,0.07112356,0.12976648,0.028888745,0.0058410843,0.0009059444
28.185825,36.001534,53.062626,3.5149362,105.15525,0.0006612335,0.3880821,0.07715309,0.14414708,0.047210183,0.0076427553,0.0020319722
29.606909,35.72038,55.25979,0.62124777,115.43021,0.00052866363,0.34906605,0.07557484,0.13362071,0.044645004,0.0069286907,0.0015678952
28.027409,33.62526,42.399334,16.200218,150.16599,0.003555351,0.30750507,0.05224011,0.11827807,0.030272651,0.0067236004,0.0013166566
28.454084,33.077034,26.582747,70.60423,159.04568,0.0005150163,0.2808605,0.06864011,0.067901,0.023169875,0.006544984,0.0026757699
25.989382,34.45812,34.589764,20.228653,113.21977,0.0006740983,0.26440483,0.045339882,0.104391575,0.03372061,0.010068922,0.0038405189
22.476326,33.92835,28.003323,22.707346,128.0692,0.0018839465,0.2712971,0.04668561,0.124084294,0.032990325,0.0078104017,0.0019266532
20.670183,35.46458,29.115812,9.407554,109.55594,0.0009142529,0.28383875,0.047236416,0.17660989,0.050780788,0.008980972,0.0026681402
