temp_mean,salt_mean,EpiPAR_sg_mean,DIN_mean,DOR_N_mean,FineSed_mean,SG_N_mean,SG_N_pr_mean,SGH_N_mean,SGH_N_pr_mean,SGD_N_mean,SGD_N_pr_mean
28.640133,17.946705,2.276915,77.5943,176.68132,0.006940713,0.023737751,0.0004525208,0.026884977,0.0020132347,0.018742407,0.0016034865
29.626204,17.254467,1.962237,141.41716,199.91559,0.0055713663,0.0074768174,2.7777778e-16,0.00808558,0.00023554986,0.0056070886,0.00027498766
28.908058,21.687527,3.8369195,113.660324,155.2865,0.0051845284,0.0045671063,0.000101643505,0.0058268127,0.00061576755,0.0050930306,0.00072306424
28.605356,22.289736,4.699189,120.90795,200.4318,0.004244554,0.0040272544,0.00013525445,0.009807153,0.0018289252,0.007387384,0.0015972815
27.25596,26.964062,7.6475153,108.487595,178.62703,0.0029648782,0.0025940111,0.00015024572,0.006372081,0.0021715423,0.005778405,0.0019869963
25.059309,33.058754,24.915632,74.50947,168.04596,0.0005289171,0.0066909036,0.0027378898,0.073977776,0.034774143,0.01563016,0.007677299
22.993446,34.15373,25.931667,35.834103,166.86623,0.0021894083,0.018108385,0.004486678,0.24846321,0.06902564,0.014386941,0.0047679227
22.180796,34.815044,32.75319,20.30542,158.84212,0.00035100125,0.023146855,0.004572632,0.32534954,0.08441536,0.011658361,0.003518594
22.621288,35.350357,39.97255,10.2764,144.69872,0.00044642886,0.029590743,0.005117422,0.38750976,0.08706423,0.011539685,0.0031852624
24.157148,35.785477,49.470577,6.3365536,137.3321,0.0008603222,0.033101775,0.0051471945,0.40977758,0.09800733,0.010612609,0.002629197
26.566338,35.95002,48.962727,1.0639691,124.33093,0.0016116282,0.0334303,0.00546638,0.5155601,0.1486293,0.008175882,0.0014195854
28.048714,35.92756,52.245182,0.30484745,99.17598,0.00019536025,0.033606082,0.0053063114,0.40872595,0.10709048,0.007857,0.0014219218
29.441141,35.632423,47.83909,1.5457501,81.78862,0.00031013347,0.0319757,0.0055879685,0.32551616,0.094899505,0.007999828,0.001541747
29.870014,33.496555,34.874912,7.0758777,86.450966,0.0006505598,0.030613558,0.0052936194,0.24931607,0.07389899,0.008897745,0.0024268487
30.526905,23.748487,7.3087993,52.499966,136.9532,0.0018891336,0.011800943,0.00035592433,0.08981598,0.01824033,0.0071226177,0.0020560727
28.867746,21.533659,6.9253354,65.579895,167.28152,0.0077033364,0.0060304976,0.00037025422,0.10837631,0.036463078,0.009608107,0.0035032944
27.966463,28.230318,9.65371,123.007866,152.0184,0.00085166213,0.0036052528,0.0003434431,0.038045116,0.0143028395,0.006557487,0.002635237
25.443113,34.056133,24.471031,59.145878,135.18019,0.00090886024,0.011855521,0.0041774614,0.20642617,0.07515888,0.014923091,0.0067478223
23.145784,34.57868,28.10857,32.78729,131.16757,0.00039403906,0.0218393,0.005388493,0.35509488,0.10841278,0.011937881,0.0038856408
22.451378,33.508263,20.696175,27.384012,121.88953,0.0026559483,0.023783276,0.005466533,0.36525786,0.09871292,0.009634488,0.0025855436
23.194298,34.669804,33.79858,14.443735,111.934814,0.0002110042,0.0277616,0.0050712493,0.41445524,0.10944883,0.010241141,0.002843381
25.319712,35.176826,46.808228,7.459468,94.7563,0.00048485154,0.031288687,0.0054682917,0.37439469,0.083791025,0.010407938,0.0029969907
26.503683,35.527195,43.00682,5.0406747,85.04758,0.0026067246,0.03268263,0.005794053,0.32627147,0.081963405,0.0091957245,0.0021303077
28.434183,35.649185,46.97923,3.052778,84.0247,0.0013454447,0.03239676,0.005229528,0.3160785,0.08847603,0.008440958,0.0016383944
29.619143,35.70368,43.09752,2.942411,82.48571,0.0013299199,0.031377245,0.005296929,0.2554237,0.07336136,0.008715793,0.0019424228
29.942919,33.118332,25.699055,13.139693,84.44913,0.00632829,0.025019439,0.0038310105,0.19670695,0.045477528,0.008016301,0.00145646
30.563145,30.767193,13.748,48.130062,96.669304,0.0011617875,0.0034792833,0.00091832806,0.08121838,0.03976299,0.010411965,0.00604756
29.21275,31.818714,17.0333,29.475801,95.09295,0.0013942992,0.004090343,0.0009454038,0.17488435,0.073127456,0.01160392,0.0048747715
27.942274,33.984333,27.648262,24.506187,127.336945,0.00090596307,0.0074070967,0.0024107767,0.20952453,0.081949115,0.01105773,0.00425617
25.286625,34.675358,26.286678,12.923124,127.74867,0.00030738057,0.013268136,0.0036594372,0.2868564,0.09756987,0.01049727,0.0033735158
23.63379,35.085464,29.602608,7.5548916,127.54981,0.00019083182,0.018718857,0.00448447,0.34708372,0.10528317,0.009257415,0.0024329035
22.746927,35.41599,30.864676,5.64911,132.13567,0.00025328549,0.02460805,0.0055637234,0.34823883,0.08857197,0.008620145,0.0019552116
24.109264,35.44312,39.175686,4.9910655,126.6235,0.00012597886,0.030038033,0.005743725,0.33525947,0.07761422,0.00872365,0.0020020732
25.5256,35.499966,43.19497,3.9343984,111.720665,0.00022172146,0.033592086,0.006296038,0.29909512,0.06416063,0.008661646,0.001872048
27.667498,35.45437,50.367943,2.693216,99.877686,0.00025383962,0.034102306,0.006027128,0.25376806,0.05681961,0.008639432,0.0019368456
28.807076,35.0897,41.025337,5.303239,98.86659,0.00049926736,0.03374242,0.006227868,0.23222882,0.06650632,0.008521879,0.001868296
29.264265,35.318302,43.731728,5.1245675,92.37703,0.00042524232,0.033291254,0.006003375,0.22657734,0.06302264,0.008506892,0.0018814264
29.482443,35.301334,31.850462,4.136196,87.15726,0.0013816761,0.03209541,0.005780958,0.20284772,0.05031534,0.0084434515,0.0016448013
28.649569,33.755608,30.54487,14.554289,97.653404,0.0011903322,0.029038152,0.0070077158,0.20477459,0.07468849,0.009459583,0.0030382504
28.057983,34.311455,28.69862,12.451908,124.45524,0.0005980545,0.03159548,0.007227446,0.22111812,0.0784111,0.009614047,0.002820671
27.708675,32.90443,25.830677,15.900576,121.07143,0.0008780544,0.030952474,0.007823382,0.23310849,0.09066668,0.009170788,0.0030658466
25.655355,34.600193,33.800858,6.3754683,101.43102,0.00020325652,0.033058308,0.00729186,0.2624404,0.08573909,0.009622508,0.00277981
23.900408,35.223446,28.90645,4.770201,103.74952,0.00017615079,0.035020497,0.0073907967,0.27297792,0.076984055,0.009422073,0.0024596774
22.822792,35.390984,38.300484,3.2016306,102.09892,0.00015064565,0.03935868,0.0067199105,0.30019128,0.06373569,0.009534777,0.0021586935
23.185383,35.504326,41.928623,2.188921,90.8589,0.00020239603,0.041708376,0.0065414016,0.2917411,0.059454106,0.009273662,0.002031514
25.0564,35.55552,48.203552,1.4652985,88.18225,0.0001886481,0.04117389,0.0061224815,0.2787231,0.058142602,0.009491602,0.002297973
26.705095,35.69037,56.37068,0.7500251,80.41424,0.00017629573,0.038633667,0.005827384,0.29890913,0.08619569,0.009330908,0.0023585963
28.69305,35.86121,57.530422,0.09975211,75.29981,0.00015468228,0.03590587,0.0053961882,0.3208912,0.08262478,0.008027334,0.0014469371
30.574516,35.382248,51.130352,3.5194464,75.36037,0.00046133032,0.032626487,0.005635321,0.23977722,0.07124555,0.008493139,0.0020127704
30.418343,34.2198,26.761768,9.738501,85.29135,0.0010512827,0.030463634,0.0072539644,0.20166686,0.06241145,0.009297858,0.0028328928
29.976685,34.513493,33.210262,9.147849,84.335014,0.00038314724,0.029552847,0.0063501354,0.19030496,0.06684832,0.010678753,0.0036627175
30.184874,34.792084,43.306435,2.5622213,85.4504,0.0002178241,0.030221978,0.0062607555,0.2537423,0.09768796,0.010467361,0.0032585317
28.601856,35.13317,46.292915,0.35192102,92.55724,0.00015323905,0.031254623,0.0065131495,0.3202708,0.11058443,0.009120112,0.0021072014
26.388807,35.40301,41.625164,0.20258723,91.8195,0.000161565,0.03362596,0.006561836,0.2954489,0.085218176,0.009303403,0.0022341742
23.744556,35.827827,32.304142,0.9071369,83.43134,0.00022512954,0.035699114,0.006425244,0.3349028,0.09020173,0.009876744,0.002296266
22.580212,35.911064,40.308273,1.0019078,85.38465,0.00017637952,0.03820582,0.0059513403,0.36765993,0.081725314,0.009635099,0.0019092417
23.523975,36.09092,47.038765,0.51216596,88.36693,0.00015582294,0.04002609,0.005664374,0.36532095,0.07510547,0.009102659,0.0015784568
25.522776,35.940132,57.963177,0.3203004,81.20861,0.00016018603,0.038507707,0.0052541043,0.3296966,0.06659334,0.008676742,0.0014245801
26.028963,35.777477,57.517254,1.305762,73.58731,0.00021712504,0.036102183,0.0049530733,0.29928437,0.06413139,0.008737127,0.0015748431
28.837383,35.483562,56.135433,0.71801025,75.18941,0.00015696921,0.03349799,0.0049602813,0.25958273,0.06160015,0.008833683,0.0017248075
29.919273,35.51282,55.389362,2.4025722,74.328156,0.000162637,0.030517168,0.0048281727,0.2287987,0.059370525,0.009235909,0.0019630443
30.660563,34.86981,47.92562,12.440146,74.44289,0.00025421058,0.02855599,0.0047629187,0.224893,0.07488096,0.009892216,0.0025185298
31.018665,33.11886,27.230762,9.422109,88.65736,0.0007087996,0.025902364,0.0067757615,0.18568327,0.06594728,0.010361832,0.0038517897
29.844992,33.11296,22.710236,10.866393,99.475624,0.0005749968,0.024117202,0.005702158,0.18280941,0.07649167,0.010506854,0.004054631
28.113382,34.260674,36.308266,5.4697638,96.19535,0.00020622902,0.027555019,0.006354052,0.2194697,0.076659195,0.011131589,0.0039469115
26.579979,35.109787,32.66354,1.9354044,93.96363,0.00018095967,0.029592626,0.005903409,0.313491,0.11204295,0.011045879,0.003354906
24.727999,35.372173,32.46122,1.9801494,92.51058,0.00040505262,0.030548824,0.005810927,0.3234445,0.08158869,0.009674468,0.0023291556
23.873539,35.219597,29.498615,7.847903,102.86191,0.0006190961,0.03299549,0.006480547,0.29562396,0.07951367,0.009647915,0.00243649
23.37512,35.416798,32.19451,5.988447,100.86956,0.00033261476,0.035729367,0.0063638883,0.3185437,0.08521688,0.0096971635,0.0023659389
25.648869,35.565968,47.666767,0.58861387,86.38573,0.00016184717,0.036729738,0.0057854927,0.41417342,0.101578265,0.008967013,0.0016358334
27.605812,35.55153,52.42029,0.37905794,80.91745,0.00025428715,0.033648003,0.0050527584,0.29349828,0.06700259,0.008192152,0.0015149453
29.175001,35.751675,62.263325,0.37430525,77.859795,0.00017215546,0.031705305,0.004867182,0.2551146,0.062036328,0.008613879,0.0016808102
29.885487,35.661873,47.78473,3.1471884,74.9633,0.00039027588,0.028848024,0.0044490257,0.23654243,0.063397944,0.009333635,0.0020482189
30.50541,35.32339,35.447727,6.2996235,82.43432,0.00058215135,0.0274689,0.005419597,0.20589517,0.066823214,0.009632256,0.0026820337
30.399323,35.21775,38.63555,5.1235805,84.58873,0.00031478575,0.027893396,0.0061650653,0.2084606,0.08457029,0.010125251,0.0033524896
30.084892,33.256187,28.28935,4.9312572,86.15663,0.004131245,0.025149591,0.005022621,0.23374453,0.071575984,0.009010918,0.0020649715
27.272087,31.849125,16.450125,43.34731,101.24231,0.0014260305,0.0026784206,0.00086821924,0.08690485,0.038883135,0.010066977,0.0052609076
25.311127,33.733917,24.14325,24.272509,118.25602,0.0016497944,0.009523878,0.0025026156,0.30533737,0.102730036,0.014342203,0.0050583156
23.089674,34.677433,19.595243,28.463144,119.84476,0.0002592925,0.009181218,0.0025304658,0.3040221,0.109746985,0.010695175,0.0037205203
23.22168,35.247818,30.879244,9.502616,103.38626,0.0002272304,0.011398845,0.0026749512,0.3863777,0.10518618,0.010201106,0.0028189016
24.3991,35.410152,38.02506,3.385241,102.03521,0.00016959455,0.017791394,0.003833434,0.35473573,0.08039534,0.009726187,0.0024090968
25.45351,35.530678,40.6061,1.77861,97.1151,0.00032408658,0.02299548,0.0046226336,0.32008845,0.078323856,0.009031637,0.0020429196
27.692219,35.362297,41.044815,2.1239486,90.90557,0.0005984104,0.024770003,0.0047640987,0.28773743,0.072888955,0.008455826,0.0017428614
28.142387,35.45923,41.27493,1.1597073,81.66081,0.000814174,0.025045656,0.004883175,0.23679301,0.0717617,0.008958075,0.002212402
30.093697,35.75554,54.676407,2.7058215,75.40091,0.00023582097,0.02630164,0.0045298804,0.30434054,0.09681295,0.008771471,0.0017801693
29.530123,35.81229,31.754692,1.4346582,74.92436,0.0007118003,0.024080258,0.0047971513,0.24473897,0.08227972,0.009006596,0.0024389112
29.81238,35.34754,33.09473,4.438004,78.44345,0.00071317883,0.024995932,0.005543413,0.21800162,0.06454805,0.009235768,0.002507344
23.222614,26.092567,4.6279716,82.870926,187.60097,0.003207927,0.012446757,0.0001285882,0.09890804,0.0062670084,0.0065308106,0.0009878445
