temp_mean,salt_mean,EpiPAR_sg_mean,DIN_mean,DOR_N_mean,FineSed_mean,SG_N_mean,SG_N_pr_mean,SGH_N_mean,SGH_N_pr_mean,SGD_N_mean,SGD_N_pr_mean
29.423105,34.261074,28.65879,0.25847736,98.53195,8.20703e-06,0.030777827,0.0056864894,0.09643712,0.031962927,0.026203098,0.008603343
30.08394,31.75502,13.917793,1.1324253,106.4902,4.9849064e-06,0.009890647,0.00037601226,0.06864028,0.026503272,0.012576165,0.0052047675
29.449383,32.30658,12.3777,3.033558,104.51743,2.3368837e-05,0.0029515768,6.6762084e-05,0.060169052,0.023522047,0.010713871,0.0043207114
28.872887,33.45573,13.236859,1.7984698,130.40839,1.6432288e-05,0.0019837883,8.320672e-05,0.072786614,0.029857473,0.011248199,0.004672616
27.468449,33.160534,14.371082,2.208724,130.47757,4.8492393e-06,0.0015843989,6.592203e-05,0.08230992,0.031024553,0.010443329,0.0038611947
25.204176,34.256428,22.513165,0.3662955,134.44904,1.0990931e-06,0.0019652124,0.00044457678,0.10339625,0.030518485,0.012331587,0.0044113253
23.090807,34.967045,22.986784,0.3434386,133.28374,2.0617883e-06,0.004351815,0.00094314176,0.13331568,0.031354353,0.014470658,0.0044182283
22.298676,35.30312,27.830566,0.31838158,133.30273,6.243612e-07,0.0065042684,0.0015689812,0.1507267,0.03558949,0.012745578,0.0035748256
22.624563,35.65344,34.35635,0.10196194,117.62521,3.7671506e-07,0.011631528,0.0024840736,0.17464902,0.036787096,0.012756851,0.0031392793
23.946342,35.862785,42.866474,0.0738615,107.2089,5.913346e-07,0.01692397,0.0032641767,0.17725971,0.034594953,0.011105293,0.0020434416
26.427591,35.951073,40.855663,0.0774703,100.44898,2.2471136e-06,0.020773934,0.004057538,0.14695077,0.029840836,0.009700301,0.0016816417
28.058668,35.84533,42.56283,0.04752739,79.21661,4.995543e-07,0.025391491,0.005054548,0.13101152,0.0294838,0.01002132,0.0018468472
29.472511,35.348328,38.34107,0.048405796,72.90545,1.2242742e-06,0.028263828,0.00579488,0.11285945,0.028298335,0.0100162495,0.0020406598
30.072506,35.088203,38.037537,0.05914602,74.23619,2.059829e-06,0.029374843,0.006235448,0.10355651,0.027647724,0.010389396,0.0022400045
31.047205,33.81198,27.480045,0.116913944,78.0386,4.309082e-06,0.025609689,0.0049835737,0.09024664,0.028523399,0.010764006,0.003163714
29.308329,32.219547,12.0950165,2.505213,89.71292,1.4104217e-05,0.009766965,0.00050582126,0.06701875,0.02482169,0.0101646995,0.0037188777
28.050241,32.306484,13.158513,2.0936494,97.53697,1.6112226e-06,0.0042251893,8.957752e-05,0.071558714,0.028270956,0.009985293,0.004029321
25.636293,34.138706,17.803528,0.6052786,97.786835,1.0237197e-06,0.003981142,0.0006200873,0.09266489,0.03102828,0.01229847,0.004913225
23.279236,35.12441,24.687124,0.3252432,99.67322,6.580611e-07,0.0077445246,0.0019181523,0.13328634,0.034161698,0.014565248,0.0046687564
22.676905,35.412125,25.893677,0.27774626,93.11924,1.846467e-06,0.010707092,0.0022985695,0.15023854,0.034906447,0.01278794,0.0033573527
23.228922,35.54746,34.729206,0.077897094,86.4511,2.4008887e-07,0.017561799,0.0036461935,0.16634467,0.034548298,0.012200042,0.0026684746
25.28341,35.61368,44.443027,0.05643223,78.05651,2.8336e-07,0.024071723,0.004519511,0.15192994,0.029512193,0.010316272,0.0017008189
26.522194,35.799202,43.65371,0.06517928,73.91687,4.6289358e-07,0.027648512,0.005215975,0.12586921,0.02682218,0.00967915,0.0017013116
28.397848,36.03764,44.894543,0.06100779,69.39124,5.7202544e-07,0.030290268,0.0056137717,0.10842553,0.024166701,0.009581753,0.0016892083
29.676847,36.341923,42.453396,0.047683563,68.07624,5.8840664e-07,0.031586226,0.006048703,0.09295812,0.022707589,0.009730526,0.0018691327
29.995255,35.461227,38.387115,0.11973854,64.993484,1.01916985e-05,0.030618407,0.006128327,0.08139551,0.022000836,0.009886513,0.0021957825
30.6232,34.415653,35.482033,0.07920906,67.19268,8.3260477e-07,0.030137893,0.006949482,0.08973584,0.028482841,0.0119894445,0.0033742553
29.597603,34.188835,29.477863,0.106571585,72.596504,1.2565116e-06,0.025871126,0.0057221893,0.082835495,0.0261162,0.011737004,0.0036815237
27.953917,34.414833,32.647476,0.091179594,97.76428,6.03159e-07,0.029207965,0.006375037,0.09638775,0.028257687,0.012649282,0.0034455247
25.456724,34.84381,25.724407,0.1127751,106.479004,5.7539296e-07,0.029755661,0.006444761,0.102558546,0.029902644,0.011944888,0.0033401777
23.750633,35.17044,26.62001,0.1727732,105.57808,3.9685392e-07,0.03072549,0.0064430195,0.12002582,0.031211838,0.012229021,0.0030878182
22.887104,35.47313,27.261677,0.17934428,106.22442,6.4750776e-07,0.03258184,0.006216955,0.12715766,0.031027295,0.011402053,0.0026695062
24.242155,35.66408,37.40018,0.12090017,103.23733,3.5757918e-07,0.03585579,0.0060125696,0.13119487,0.02699055,0.010775497,0.0018909757
25.488121,35.716545,40.390923,0.1312937,88.746544,6.758875e-07,0.03636454,0.006252491,0.11611579,0.02478898,0.010174931,0.0018332718
27.59537,35.814125,44.975105,0.10266912,88.694595,7.6537634e-07,0.03600476,0.0063250195,0.10144404,0.022128148,0.0097811585,0.0016988143
28.805504,35.74223,41.259186,0.12986808,80.705185,7.3331654e-07,0.035742328,0.006676373,0.091000244,0.021646386,0.009936403,0.0018664397
29.212711,35.759228,46.64213,0.088799775,75.806564,9.860314e-07,0.03487042,0.0064128623,0.08461752,0.020783378,0.010262203,0.001984709
29.590115,35.55284,31.882908,0.18233068,73.40266,2.357551e-06,0.03341214,0.0060545495,0.07821085,0.019272773,0.010452887,0.0020787795
28.607183,34.54094,32.19445,0.26827723,72.04891,7.0618385e-06,0.028648393,0.006616643,0.082823664,0.027050065,0.012733147,0.003986489
28.062449,34.700783,28.731903,0.078747004,92.16763,2.3474397e-06,0.029802,0.0067963875,0.09899408,0.029203633,0.0123208705,0.0032701497
27.624315,34.567944,28.024858,0.21075702,99.284004,9.420316e-06,0.030376444,0.0068373173,0.103432804,0.031824164,0.012096061,0.0034264715
25.868765,34.899757,29.696777,0.11578149,92.39923,6.1723244e-07,0.032531977,0.0074431854,0.11494655,0.03324195,0.012116493,0.0032822094
23.996975,35.30065,25.284346,0.2754886,90.24104,5.3786795e-07,0.030487837,0.0061566127,0.12315742,0.03299193,0.012251489,0.0033098173
22.946716,35.56828,32.46976,0.27126107,90.60539,3.4358652e-07,0.03418507,0.006222908,0.1326406,0.029154083,0.011300386,0.0022662345
23.265152,35.701813,34.708656,0.24841595,77.35641,6.791097e-07,0.037120268,0.0060195173,0.12865433,0.026375294,0.010689784,0.0019215322
25.048075,35.868183,42.683422,0.24943721,74.945305,2.6800228e-07,0.039138537,0.006215308,0.12040963,0.02323767,0.010133596,0.001614295
26.762615,36.013813,47.694458,0.3739227,70.42328,3.1470887e-07,0.038481195,0.006069792,0.10320412,0.020572081,0.009860145,0.0015877293
28.70874,36.12655,49.629105,0.58167547,70.15537,2.9369036e-07,0.037844162,0.00625474,0.089937,0.01976969,0.010034982,0.0017887136
30.56588,36.142773,49.677864,0.60362273,67.24076,2.8526907e-07,0.035759397,0.006454045,0.07582188,0.018598923,0.010289151,0.002035114
30.545437,35.545948,37.900005,0.3236234,63.91814,2.1535714e-06,0.031946342,0.006769398,0.07492761,0.021349393,0.011503394,0.0026761298
30.099785,35.101982,38.3003,0.17070216,64.23122,6.0762864e-07,0.03133346,0.0067098024,0.07237152,0.020971466,0.010953116,0.002716637
30.004045,34.84423,36.58038,0.45214236,68.57377,7.499848e-07,0.030835234,0.0067568035,0.073543996,0.021639746,0.011900029,0.0031612741
28.73014,35.152676,37.24895,0.40728644,75.67358,4.0248267e-07,0.031344935,0.0066834777,0.078021675,0.022583501,0.012288811,0.0030765664
26.683157,35.495327,30.232666,0.7985946,78.10053,5.1428094e-07,0.032065947,0.006113318,0.08026505,0.022440027,0.011989232,0.003131463
24.012474,35.775677,23.676064,1.424077,77.22511,9.383755e-07,0.027951676,0.0051049343,0.093234345,0.02477849,0.013005759,0.0035037594
22.928385,35.97162,29.476633,1.756595,77.675224,8.931152e-07,0.029741505,0.005169318,0.11013639,0.024740295,0.012524213,0.0027329577
23.734015,36.182354,35.93316,1.4766476,77.43502,8.1643105e-07,0.032689445,0.005264038,0.11205367,0.022872832,0.01147475,0.0021359217
25.539406,36.109,47.0192,1.0603113,74.46609,7.2460443e-07,0.034069784,0.005300298,0.10236079,0.019539952,0.010765273,0.0017743895
25.832977,35.82585,41.864326,1.0551094,67.98286,1.213675e-06,0.033063784,0.005207033,0.08874312,0.017971274,0.010607203,0.0019064011
28.594875,35.71078,45.979527,1.2569245,68.682365,6.088607e-07,0.032821596,0.0055970782,0.081860356,0.017881924,0.010681457,0.0019609244
29.720512,35.64755,39.747597,1.1835097,68.14964,1.0876448e-06,0.03087466,0.0055171796,0.06962875,0.016911238,0.010867649,0.0022530938
30.43611,35.29763,42.45352,1.1121534,67.91782,1.0713807e-06,0.02906299,0.0054823677,0.06655247,0.016940208,0.011464692,0.0024784629
31.432081,35.037457,41.985832,1.4291694,67.017265,1.022746e-06,0.026837142,0.005679172,0.061486278,0.017087288,0.011667019,0.0027373456
30.114273,33.98259,19.021576,0.59474176,69.5942,6.679831e-06,0.018105742,0.0025913364,0.05605857,0.020923475,0.012283791,0.0049157077
