temp_mean,salt_mean,EpiPAR_sg_mean,DIN_mean,DOR_N_mean,FineSed_mean,SG_N_mean,SG_N_pr_mean,SGH_N_mean,SGH_N_pr_mean,SGD_N_mean,SGD_N_pr_mean
27.12936,29.960508,14.817867,24.224182,196.77342,9.1174996e-05,0.2365012,0.032056604,0.07401275,0.022721676,0.03707055,0.0093461275
28.909697,26.272358,8.369574,47.919903,165.88672,7.93864e-05,0.099811725,0.01083409,0.05616254,0.018887198,0.01446829,0.004319857
28.82722,31.284286,13.4343405,40.596214,144.75156,4.1984338e-05,0.07902841,0.013426287,0.056495927,0.019936142,0.013149961,0.004774294
28.011477,31.853907,13.152835,32.707195,130.97539,4.6205205e-05,0.07905064,0.014687739,0.07979973,0.029989012,0.013823101,0.0047784485
26.075756,31.74658,16.770653,40.890873,125.82787,3.624076e-05,0.072978966,0.016827922,0.09662735,0.02885757,0.011946177,0.0035349869
23.325937,33.12048,18.828753,39.541126,122.73336,2.0639614e-05,0.093012735,0.019667922,0.09652474,0.022517547,0.011577625,0.002964507
21.062168,34.375893,17.829044,25.473366,119.31192,2.1950378e-05,0.109894134,0.020407682,0.09986005,0.023514623,0.012391256,0.0033203275
19.868137,35.114407,25.951204,6.755823,118.113434,2.0361802e-05,0.13139196,0.021622771,0.13762762,0.029697316,0.013840687,0.0034756267
20.684137,35.614643,27.530767,0.43987858,120.11579,2.7641798e-05,0.1520148,0.023421822,0.16504265,0.03125222,0.012883238,0.0027324853
22.738943,35.764454,35.618217,0.22231273,120.98106,3.7744016e-05,0.16711529,0.024359746,0.17258194,0.029730769,0.011708203,0.0019919572
24.703403,36.08336,33.036488,0.1108349,122.53827,3.8988914e-05,0.17563152,0.028121462,0.15754835,0.02902163,0.010697651,0.0017992321
27.627134,36.20578,39.545715,0.08738051,123.378975,2.8485152e-05,0.18034293,0.02981786,0.13642286,0.026240474,0.010316777,0.0017044372
27.82775,36.293045,33.16983,0.08346422,124.84495,2.9030272e-05,0.17755586,0.030613294,0.12087427,0.026435921,0.011068805,0.0020818845
28.410791,35.995296,34.215885,0.6294763,118.86199,5.2777905e-05,0.17766923,0.031724792,0.108913384,0.02318321,0.011273451,0.0022064194
29.521622,33.615196,30.184746,2.0060754,118.17506,3.5642806e-05,0.15836301,0.02972819,0.09401147,0.024601467,0.011784273,0.0029591846
27.896172,33.595924,21.649143,4.5269947,116.1649,4.3303393e-05,0.1428291,0.029141419,0.08365362,0.027674252,0.012895813,0.004133906
26.258709,33.44978,21.197613,7.305825,118.908104,2.6620819e-05,0.14571825,0.029314058,0.10296959,0.032758605,0.012794282,0.0036203614
23.690302,35.03374,22.447388,2.3247466,112.54556,2.6402271e-05,0.1472986,0.027608234,0.12474613,0.037166566,0.012781604,0.0035473926
20.685713,35.387096,20.259598,0.9681076,101.72715,2.1451046e-05,0.15273151,0.026898708,0.15839273,0.03838616,0.01328275,0.0032365383
20.01496,34.852524,21.486914,1.202381,96.10061,2.5395295e-05,0.16275638,0.028052974,0.18012775,0.038753882,0.012900226,0.002903403
20.909843,35.076576,28.694702,0.39587837,94.44277,1.8882767e-05,0.1811309,0.026699733,0.19343576,0.036205593,0.012045953,0.0023806768
23.44818,35.569977,36.425552,0.09706398,94.438614,2.9330788e-05,0.19093484,0.027607853,0.16900261,0.0267827,0.0103929,0.0014899762
25.208946,35.989655,37.527252,0.07563315,98.084816,3.4139328e-05,0.1934502,0.028620234,0.13376898,0.021994775,0.009957786,0.0014430961
26.857306,36.256954,39.306683,0.07410698,103.59275,3.4760513e-05,0.19302408,0.028485766,0.11354198,0.020316303,0.010024414,0.0014859644
29.000175,36.50072,39.730907,0.06492625,109.76019,4.107084e-05,0.17984492,0.028390853,0.09195916,0.018732877,0.009873467,0.0015791265
29.150366,34.48038,32.5857,10.24114,127.778435,0.00016738029,0.15960026,0.02313712,0.07736802,0.016314164,0.010038832,0.0017687489
28.518883,30.218245,10.972438,33.38589,159.14427,0.00013121607,0.09794355,0.019162409,0.047009606,0.015272195,0.012717377,0.005429025
26.644258,30.58294,8.673895,41.751865,141.38437,7.265937e-05,0.07354187,0.01429443,0.04238902,0.015490656,0.010153902,0.0036593487
26.200655,33.21423,17.104979,30.371227,122.961624,3.1707896e-05,0.0788944,0.016584305,0.08940052,0.0313757,0.015128071,0.0062205573
23.577478,34.27943,16.81973,19.005854,118.21713,2.9718485e-05,0.0988006,0.019263413,0.122256406,0.034097515,0.013474221,0.0039767926
21.11079,34.912197,18.056524,7.332167,110.263535,2.1756536e-05,0.105485305,0.020173497,0.15943334,0.044055324,0.013705695,0.004103283
20.448553,35.50787,20.67435,0.84648055,104.21707,2.4677129e-05,0.1210392,0.021365084,0.19139649,0.04215222,0.013844299,0.003605002
21.858566,35.64608,33.38264,0.12320378,97.58043,1.7956529e-05,0.14321612,0.023799596,0.20137793,0.0375369,0.011998103,0.0022994815
24.335632,35.90855,35.483448,0.07770773,99.02968,2.377305e-05,0.16534905,0.028893122,0.16732259,0.028376054,0.010085288,0.0015006493
26.70345,36.153824,41.42833,0.060894653,108.09301,2.3995774e-05,0.17501359,0.029918188,0.12625442,0.021751495,0.00957605,0.0014112883
27.699038,36.361694,35.455032,0.08192351,114.771416,3.493592e-05,0.17657152,0.03179431,0.10370659,0.021086141,0.009967167,0.0017600195
28.628267,36.3078,40.771324,0.067251146,119.449066,2.9243472e-05,0.1793367,0.03295228,0.09785593,0.019985499,0.010455376,0.0017174208
28.751259,36.420574,29.534178,0.111332245,121.672676,7.404207e-05,0.16830085,0.029244848,0.08103323,0.016951447,0.010650971,0.0018965575
27.297022,35.38312,29.00081,0.8131047,120.81106,6.8754e-05,0.15840074,0.033350296,0.089623064,0.027445748,0.013073877,0.003553298
27.091402,35.01817,25.388819,3.4907892,114.977264,8.371104e-05,0.17330784,0.03377702,0.10095937,0.025775483,0.012443263,0.0030137312
26.84876,33.92815,20.047737,4.6857414,116.71016,2.9725205e-05,0.16173092,0.03540622,0.09306472,0.027910199,0.013324939,0.0040722024
23.910069,34.923042,20.545002,1.9983249,105.99727,2.2457623e-05,0.15594639,0.032152884,0.11064011,0.034015693,0.013270424,0.00397672
22.082176,35.649303,18.65464,0.5073049,96.44316,2.1004656e-05,0.14972073,0.028445901,0.14520246,0.04159791,0.014008739,0.0040414166
20.205873,36.115776,26.890705,0.12132726,89.20829,1.9837404e-05,0.17102148,0.02881547,0.17466544,0.035305828,0.012302058,0.0023265362
20.898056,36.16448,30.772095,0.09931234,85.76833,2.756e-05,0.19362709,0.029683905,0.16807699,0.029243521,0.010650711,0.0016103965
22.80605,36.058327,36.991833,0.08750976,84.322365,3.529044e-05,0.20828167,0.030988865,0.14738701,0.023472209,0.01019916,0.0013947412
25.466074,36.211693,43.1324,0.0618853,87.036995,3.260384e-05,0.2085463,0.031179212,0.118395366,0.018944794,0.009722147,0.0013074997
27.960865,36.49487,42.985928,0.057978716,90.75192,1.9724604e-05,0.19844466,0.033335023,0.09508718,0.018626487,0.009815583,0.0015975162
29.34823,36.04431,38.8167,0.1756833,97.994865,2.4252036e-05,0.17747033,0.031979933,0.085145645,0.021665163,0.0109358765,0.002344923
30.037437,35.077038,31.509949,0.6753014,106.777176,4.7217727e-05,0.16767463,0.035121974,0.08323816,0.022921091,0.0118925,0.002999843
28.58665,33.38471,24.134602,4.340669,114.59929,0.000102129074,0.14610516,0.030427761,0.06913258,0.021269903,0.012380985,0.0037533653
29.3522,33.643078,25.82746,4.3163824,114.671295,3.199777e-05,0.14636447,0.03304398,0.08018293,0.027521959,0.013143223,0.0043021073
