temp_mean,salt_mean,EpiPAR_sg_mean,DIN_mean,DOR_N_mean,FineSed_mean,SG_N_mean,SG_N_pr_mean,SGH_N_mean,SGH_N_pr_mean,SGD_N_mean,SGD_N_pr_mean
26.570055,30.215034,32.60046,6.5644355,137.87892,0.00034468138,0.27181956,0.03598497,0.09268788,0.02470635,0.02219712,0.0065607983
27.296108,21.317461,16.97051,33.84743,154.97977,0.00067406025,0.19751203,0.038309045,0.07495978,0.022727866,0.0077090734,0.0018048479
28.493492,31.115181,35.56444,16.653868,132.21928,0.00019297145,0.2032029,0.033873938,0.13929728,0.050955772,0.010902689,0.0049423613
27.462912,32.950134,34.216618,1.4715244,108.45418,0.00019573329,0.18665525,0.03310711,0.17573002,0.05941461,0.009554699,0.0032781966
25.364573,33.733685,43.71596,0.505453,101.711525,0.00016011848,0.19945517,0.034986153,0.17634737,0.053374495,0.0093352385,0.0031908134
22.23001,34.23511,42.355087,0.32141614,103.56229,0.00014501988,0.2260902,0.036681537,0.19192997,0.052489623,0.00853077,0.0022916489
19.629837,34.885414,38.455326,0.20282781,105.638695,0.00012829361,0.25623837,0.037315853,0.22125374,0.046070565,0.0077303345,0.0014603096
18.317204,35.500885,48.337296,0.12370824,105.90689,0.000120627476,0.28775093,0.03528293,0.23280255,0.03717674,0.006826875,0.00093795307
19.382507,35.857365,47.164425,0.09715822,105.71402,0.00012662639,0.30542353,0.036000982,0.2198235,0.03410936,0.006261658,0.0008003094
21.837791,35.72174,62.993618,0.07503013,102.032364,0.00017617943,0.30459416,0.03419308,0.20410326,0.030388782,0.0061183716,0.00071484223
23.755241,36.13633,60.32161,0.05752644,101.1279,0.00015397018,0.2957431,0.035184246,0.16666606,0.02563618,0.0058685024,0.0007080696
27.046822,36.27656,68.610435,0.056129895,103.89334,0.0001563754,0.2842456,0.036967106,0.12712622,0.021465963,0.005747844,0.0007420194
26.877077,35.550262,60.29202,0.11042876,115.51238,0.0001958236,0.27953362,0.041780412,0.12087511,0.027053388,0.00659587,0.0010768587
27.490183,34.625313,52.019905,1.3732466,116.93828,0.00024082427,0.2878576,0.043000184,0.114483505,0.023581592,0.0066206316,0.0011485644
28.77181,31.1702,42.486702,5.6535115,120.607994,0.00024207479,0.24417447,0.041467194,0.12583232,0.048290428,0.008515116,0.0032483558
26.685802,27.316038,22.122358,24.652586,135.76283,0.0003312893,0.23164138,0.050074454,0.08808955,0.025265306,0.0066896877,0.0020637282
25.156965,31.979118,33.306183,9.635954,122.14248,0.00013587072,0.25489697,0.043839477,0.15043198,0.0558748,0.008692554,0.0034094178
22.720179,34.686016,40.499367,0.6456637,105.39898,0.00013566793,0.25031722,0.040923517,0.20691204,0.058091335,0.009457988,0.002970969
19.573845,34.631516,31.886429,0.78017724,105.93946,0.00015016504,0.27908367,0.04202432,0.24522872,0.061098095,0.008291348,0.0019314031
19.49059,34.101048,35.044662,1.64639,103.377655,0.0007302819,0.27825898,0.03678405,0.2537272,0.06062905,0.007155094,0.001428424
19.782913,35.359657,53.056335,0.10406645,95.217896,0.000290583,0.2952981,0.036571633,0.25711766,0.041087378,0.0067182137,0.00093564973
22.35633,35.877266,60.699295,0.06078138,90.1356,0.0003363509,0.3081136,0.038110696,0.20569459,0.029835718,0.0060242587,0.00071183575
24.1068,36.32141,59.931908,0.0651416,91.19234,0.0006858971,0.30387542,0.038617168,0.15662466,0.024732815,0.0057159383,0.0007272614
26.107452,36.56472,66.21233,0.06093917,95.87967,0.0007093961,0.2950748,0.039306138,0.123234265,0.0200119,0.0058151777,0.0007450039
28.473658,36.734287,67.636345,0.045001492,97.85804,0.0004012072,0.28051203,0.042027317,0.090706415,0.016595757,0.0059109693,0.00082239456
28.37701,33.763107,50.47142,3.011851,103.14003,0.004226201,0.25769815,0.037180763,0.07331374,0.014095085,0.0060589346,0.00091884914
27.408487,24.606369,16.562717,42.9179,137.51285,0.0018475612,0.17170702,0.03633717,0.050636113,0.020001283,0.005334489,0.0016076532
26.052368,25.25142,18.222555,47.820118,137.65164,0.0028816955,0.1549585,0.031807713,0.111521326,0.03757358,0.0054049566,0.0017916436
25.497444,33.03459,33.964672,15.461722,98.260635,0.0009879866,0.15734023,0.027488308,0.119072214,0.030235073,0.009753825,0.0041235965
22.677917,34.535603,36.054176,1.9895089,90.15132,0.0005732939,0.17906284,0.031219376,0.1679433,0.04779385,0.011521976,0.004096023
20.068903,34.82001,31.16599,0.55988824,93.03171,0.00031791916,0.20485061,0.033240616,0.22544767,0.060177807,0.009068593,0.0023429156
19.280548,34.976013,31.595165,0.27272657,96.996216,0.00046052155,0.22815548,0.035866175,0.25259978,0.054310095,0.00749729,0.0013981109
20.6932,35.462856,57.681362,0.08267332,95.76815,0.00016760635,0.28136164,0.043803547,0.22537126,0.034417536,0.006389174,0.0008247522
23.01373,35.79482,52.33558,0.078817084,96.12422,0.00037382435,0.3202809,0.052240927,0.16648874,0.02728479,0.005927865,0.0007837795
25.423689,36.13832,69.2245,0.045126088,100.80314,0.00024302411,0.31475833,0.04322133,0.11739609,0.017691294,0.005578643,0.00066699943
26.625017,36.259777,69.209015,0.047228865,103.45764,0.00024182623,0.30342156,0.043877855,0.093213364,0.01576585,0.0057263803,0.0007337103
27.264475,36.503365,68.78036,0.04656621,104.35005,0.00030957375,0.29745907,0.04304469,0.08151886,0.014232202,0.006058415,0.0007797478
28.071014,36.6332,57.928547,0.121588476,109.97702,0.0025704324,0.27479967,0.042817134,0.06748572,0.013059523,0.0062394836,0.00095428154
26.824114,36.432125,51.616882,0.19500798,115.731514,0.00075127714,0.26654637,0.051298972,0.068887,0.016630476,0.007394472,0.0015239456
26.605904,36.014584,45.057285,0.51953155,106.08411,0.0012153545,0.27158013,0.04703162,0.069764175,0.016055394,0.0071768123,0.0014510476
26.152498,33.831547,38.80782,8.10232,121.34632,0.00041826788,0.22508034,0.038675744,0.08482089,0.031898573,0.00907701,0.00352672
23.238691,35.15846,38.932453,0.5263133,103.2742,0.0003159513,0.26557922,0.05589268,0.13848014,0.03800942,0.009254126,0.0025927853
21.475113,35.64251,34.848324,0.23298681,95.20272,0.00018168673,0.28448004,0.053269275,0.14523783,0.035124186,0.007777732,0.0016413224
18.912153,36.094955,47.515186,0.23739192,94.42886,0.000164782,0.32498276,0.049153067,0.14660758,0.02404964,0.006953632,0.000971333
19.82272,36.112076,47.98309,0.24483356,94.54495,0.00044535313,0.35092732,0.04931687,0.13384452,0.021631371,0.00639372,0.00086301955
